Month Start,Mean Temperature
1955-01-01 00:00:00,15.98
1955-02-01 00:00:00,16.98
1955-03-01 00:00:00,15.37
1955-04-01 00:00:00,13.15
1955-05-01 00:00:00,11.08
1955-06-01 00:00:00,7.01
1955-07-01 00:00:00,6.21
1955-08-01 00:00:00,8.11
1955-09-01 00:00:00,9.70
1955-10-01 00:00:00,11.73
1955-11-01 00:00:00,12.74
1955-12-01 00:00:00,15.04
1956-01-01 00:00:00,17.86
1956-02-01 00:00:00,16.05
1956-03-01 00:00:00,14.08
1956-04-01 00:00:00,14.46
1956-05-01 00:00:00,10.01
1956-06-01 00:00:00,8.75
1956-07-01 00:00:00,7.00
1956-08-01 00:00:00,7.64
1956-09-01 00:00:00,9.51
1956-10-01 00:00:00,11.50
1956-11-01 00:00:00,13.02
1956-12-01 00:00:00,14.75
1957-01-01 00:00:00,15.86
1957-02-01 00:00:00,16.90
1957-03-01 00:00:00,15.67
1957-04-01 00:00:00,12.68
1957-05-01 00:00:00,10.26
1957-06-01 00:00:00,7.50
1957-07-01 00:00:00,5.90
1957-08-01 00:00:00,7.82
1957-09-01 00:00:00,9.13
1957-10-01 00:00:00,10.01
1957-11-01 00:00:00,12.41
1957-12-01 00:00:00,13.39
1958-01-01 00:00:00,14.83
1958-02-01 00:00:00,17.00
1958-03-01 00:00:00,15.71
1958-04-01 00:00:00,11.20
1958-05-01 00:00:00,9.62
1958-06-01 00:00:00,7.66
1958-07-01 00:00:00,5.90
1958-08-01 00:00:00,7.82
1958-09-01 00:00:00,8.73
1958-10-01 00:00:00,11.96
1958-11-01 00:00:00,13.49
1958-12-01 00:00:00,15.37
1959-01-01 00:00:00,16.62
1959-02-01 00:00:00,15.87
1959-03-01 00:00:00,14.75
1959-04-01 00:00:00,12.33
1959-05-01 00:00:00,7.82
1959-06-01 00:00:00,7.02
1959-07-01 00:00:00,6.80
1959-08-01 00:00:00,7.74
1959-09-01 00:00:00,9.81
1959-10-01 00:00:00,9.95
1959-11-01 00:00:00,12.85
1959-12-01 00:00:00,14.87
1960-01-01 00:00:00,16.08
1960-02-01 00:00:00,15.82
1960-03-01 00:00:00,13.73
1960-04-01 00:00:00,11.91
1960-05-01 00:00:00,10.20
1960-06-01 00:00:00,7.85
1960-07-01 00:00:00,7.30
1960-08-01 00:00:00,7.25
1960-09-01 00:00:00,9.64
1960-10-01 00:00:00,11.61
1960-11-01 00:00:00,12.71
1960-12-01 00:00:00,13.47
1961-01-01 00:00:00,15.44
1961-02-01 00:00:00,15.86
1961-03-01 00:00:00,13.84
1961-04-01 00:00:00,12.09
1961-05-01 00:00:00,9.36
1961-06-01 00:00:00,7.39
1961-07-01 00:00:00,6.57
1961-08-01 00:00:00,7.29
1961-09-01 00:00:00,8.83
1961-10-01 00:00:00,12.10
1961-11-01 00:00:00,13.08
1961-12-01 00:00:00,15.65
1962-01-01 00:00:00,17.18
1962-02-01 00:00:00,15.95
1962-03-01 00:00:00,15.08
1962-04-01 00:00:00,12.18
1962-05-01 00:00:00,11.30
1962-06-01 00:00:00,8.22
1962-07-01 00:00:00,7.55
1962-08-01 00:00:00,8.11
1962-09-01 00:00:00,9.42
1962-10-01 00:00:00,12.03
1962-11-01 00:00:00,13.05
1962-12-01 00:00:00,14.54
1963-01-01 00:00:00,16.26
1963-02-01 00:00:00,16.82
1963-03-01 00:00:00,14.26
1963-04-01 00:00:00,11.11
1963-05-01 00:00:00,9.57
1963-06-01 00:00:00,6.53
1963-07-01 00:00:00,6.55
1963-08-01 00:00:00,7.02
1963-09-01 00:00:00,9.33
1963-10-01 00:00:00,11.18
1963-11-01 00:00:00,11.88
1963-12-01 00:00:00,13.56
1964-01-01 00:00:00,14.61
1964-02-01 00:00:00,15.63
1964-03-01 00:00:00,14.49
1964-04-01 00:00:00,11.84
1964-05-01 00:00:00,8.97
1964-06-01 00:00:00,7.26
1964-07-01 00:00:00,7.56
1964-08-01 00:00:00,7.74
1964-09-01 00:00:00,9.21
1964-10-01 00:00:00,10.76
1964-11-01 00:00:00,12.34
1964-12-01 00:00:00,15.28
1965-01-01 00:00:00,16.33
1965-02-01 00:00:00,14.93
1965-03-01 00:00:00,14.16
1965-04-01 00:00:00,11.87
1965-05-01 00:00:00,9.13
1965-06-01 00:00:00,7.14
1965-07-01 00:00:00,5.66
1965-08-01 00:00:00,7.13
1965-09-01 00:00:00,9.50
